subpop,date,amount,source_infection_stage,source_vaccination_stage,source_variant_type,source_age_strata,destination_infection_stage,destination_vaccination_stage,destination_variant_type,destination_age_strata
40000,2024-07-28,1642595.5394460554,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
40000,2024-07-28,712564.7875212479,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
40000,2024-07-28,692509.1560843916,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
40000,2024-07-28,631162.5187481252,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
41000,2024-07-28,223031.66516651664,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
41000,2024-07-28,1760711.0900090009,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
41000,2024-07-28,770698.309630963,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
41000,2024-07-28,625314.7056705671,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
41000,2024-07-28,750047.2295229523,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
42000,2024-07-28,697068.6781321868,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
42000,2024-07-28,5134006.741325867,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
42000,2024-07-28,2633512.675732427,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
42000,2024-07-28,1935164.9725027494,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
42000,2024-07-28,2391776.9323067693,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
44000,2024-07-28,54441.95230476952,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
44000,2024-07-28,446106.87131286866,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
44000,2024-07-28,220304.9099090091,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
44000,2024-07-28,149688.94070592942,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
44000,2024-07-28,186688.3257674233,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
45000,2024-07-28,285181.7808,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
45000,2024-07-28,2036940.9942,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
45000,2024-07-28,986588.3790000001,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
45000,2024-07-28,798308.154,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
45000,2024-07-28,913786.6919999999,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
